"Sample_Name","Sample_ID","INC","SpC","pH","Temp","Respiration_Rate_mg_DO_per_L_per_H","Respiration_Rate_mg_DO_per_kg_per_H","Fe_mg_per_kg","Fe_mg_per_L","Initial_Water_Mass_g","Final_Water_Mass_g","Dry_Sediment_Mass_g","Incubation_Water_Mass_g","ATP_nanomol_per_L","ATP_picomol_per_g","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","mean_ssa","Initial_Gravimetric_Water","Final_Gravimetric_Water","Lost_Gravimetric_Water"
"EC_005_INC-D1","EC_005","INC-D1",115.4,6.96,21,0,0,"0.647","0.201",4.33,2.42,15.75,50.74,7.6,20.8,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0.274920634920635,0.153650793650794,0.121269841269841
"EC_005_INC-D2","EC_005","INC-D2",113.1,6.89,20,0,0,"0.654","0.202",4.31,1.94,15.69,50.76,5.76,16.82,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0.274697259400892,0.123645634161887,0.151051625239006
"EC_005_INC-D3","EC_005","INC-D3",114,6.77,20.9,0,0,"0.649","0.201",4.32,2.3,15.71,50.76,6.54,17.44,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0.274984086569064,0.14640356460853,0.128580521960535
"EC_005_INC-D4","EC_005","INC-D4",116.4,6.67,21,-0.066,-0.214,"0.655","0.202",4.3,1.86,15.63,50.79,2.97,10.89,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0.275111964171465,0.119001919385797,0.156110044785669
"EC_005_INC-D5","EC_005","INC-D5",115.5,6.68,20.4,-0.089,-0.288,"0.69","0.213",4.3,1.98,15.67,50.77,2.84,9.94,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0.274409700063816,0.12635609444799,0.148053605615826
"EC_005_INC-W1","EC_005","INC-W1",129,7.16,20.1,-0.076,-0.245,"0.894","0.277",8.36,8.36,15.72,50.75,4.06,11.61,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0.531806615776081,0.531806615776081,0
"EC_005_INC-W2","EC_005","INC-W2",115.4,6.92,20.7,-0.346,-1.117,"0.753","0.233",8.32,8.32,15.72,50.75,6.26,17.41,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0.529262086513995,0.529262086513995,0
"EC_005_INC-W3","EC_005","INC-W3",111.7,6.9,20.8,-0.376,-1.21,"0.702","0.218",8.34,8.34,15.77,50.73,4.3,12.92,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0.528852251109702,0.528852251109702,0
"EC_005_INC-W4","EC_005","INC-W4",113.5,6.86,21,-0.36,-1.16,"0.768","0.238",8.33,8.33,15.75,50.74,6.03,15.84,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0.528888888888889,0.528888888888889,0
"EC_005_INC-W5","EC_005","INC-W5",116.1,6.72,21.1,-0.243,-0.786,"0.602","0.186",8.31,8.31,15.69,50.76,4.22,14.44,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0.529636711281071,0.529636711281071,0
"EC_009_INC-D1","EC_009","INC-D1",64.64,5.7,20.1,-0.602,-2.097,"0.502","0.144",5.36,3.37,14.71,51.25,33,98.48,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0.364377974167233,0.229095853161115,0.135282121006118
"EC_009_INC-D2","EC_009","INC-D2",65.08,5.67,20.2,-9.89,-34.434,"0.513","0.147",5.37,3.4,14.72,51.25,31.45,98.58,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0.364809782608696,0.230978260869565,0.13383152173913
"EC_009_INC-D3","EC_009","INC-D3",69.74,5.76,19.8,-0.239,-0.835,"0.605","0.173",5.35,3.36,14.68,51.26,24.15,71.82,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0.364441416893733,0.228882833787466,0.135558583106267
"EC_009_INC-D4","EC_009","INC-D4",68.47,5.78,19.8,-0.483,-1.693,"0.567","0.162",5.34,3.39,14.63,51.29,34.4,127.97,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0.365003417634997,0.231715652768284,0.133287764866712
"EC_009_INC-D5","EC_009","INC-D5",63.19,6.36,19.9,-2.473,-8.67,"0.625","0.178",5.34,3.4,14.63,51.29,32.24,93.43,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0.365003417634997,0.232399179767601,0.132604237867396
"EC_009_INC-W1","EC_009","INC-W1",75.2,6.9,19.8,-3.002,-10.539,"0.628","0.179",8.3,8.3,14.61,51.29,45.7,141.81,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0.568104038329911,0.568104038329911,0
"EC_009_INC-W2","EC_009","INC-W2",63.64,6.03,19.8,-3.905,-13.657,"0.595","0.17",8.32,8.32,14.66,51.27,16.59,56.4,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0.567530695770805,0.567530695770805,0
"EC_009_INC-W3","EC_009","INC-W3",62.81,5.75,20.2,-4.162,-14.591,"0.48","0.137",8.32,8.32,14.63,51.29,44.21,191.37,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0.568694463431305,0.568694463431305,0
"EC_009_INC-W4","EC_009","INC-W4",63.2,5.71,20,-2.971,-10.367,"0.527","0.151",8.36,8.36,14.69,51.26,15.91,58.41,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0.569094622191967,0.569094622191967,0
"EC_009_INC-W5","EC_009","INC-W5",63.33,5.68,20.1,-2.608,-9.094,"0.581","0.167",8.35,8.35,14.7,51.26,20.69,66.29,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0.568027210884354,0.568027210884354,0
"EC_011_INC-D1","EC_011","INC-D1",258.7,6.71,21.5,-119.42,-475.308,"0.646","0.162",7.12,3.41,13.09,52.1,54.48,424.68,21.6,29,25.7,76.3,0,23.7,6.9868,0.54392666157372,0.260504201680672,0.283422459893048
"EC_011_INC-D2","EC_011","INC-D2",260.7,6.7,21.5,-214.02,-854.768,"0.564","0.141",7.09,2.53,13.05,52.12,46.2,259.56,21.6,29,25.7,76.3,0,23.7,6.9868,0.543295019157088,0.193869731800766,0.349425287356322
"EC_011_INC-D3","EC_011","INC-D3",270.2,6.65,21.5,-219.742,-874.603,"0.418","0.105",7.12,3.69,13.09,52.1,44.84,207.48,21.6,29,25.7,76.3,0,23.7,6.9868,0.54392666157372,0.281894576012223,0.262032085561497
"EC_011_INC-D4","EC_011","INC-D4",264.9,6.75,21.5,-217.954,-867.487,"0.837","0.21",7.12,2.19,13.09,52.1,51.04,260.75,21.6,29,25.7,76.3,0,23.7,6.9868,0.54392666157372,0.167303284950344,0.376623376623377
"EC_011_INC-D5","EC_011","INC-D5",260.4,6.73,21.7,-191.632,-764.767,"0.682","0.171",7.1,3.1,13.06,52.12,47.48,251.62,21.6,29,25.7,76.3,0,23.7,6.9868,0.54364471669219,0.237366003062787,0.306278713629403
