"Parent_ID","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","ssa_m2_g"
"EC_05",6,56.2,33.4,95.6,0.4,4,9.24384685652541
"EC_05",6,56.2,33.4,95.6,0.4,4,8.82888977975565
"EC_05",6,56.2,33.4,95.6,0.4,4,6.48933922740701
"EC_09",31.4,36.4,13.3,81.1,1.4,17.5,19.5125998907142
"EC_09",31.4,36.4,13.3,81.1,1.4,17.5,20.8413418909249
"EC_09",31.4,36.4,13.3,81.1,1.4,17.5,13.8700145599386
"EC_11",21.6,29,25.7,76.3,0,23.7,6.42246356564107
"EC_11",21.6,29,25.7,76.3,0,23.7,3.91364658855655
"EC_11",21.6,29,25.7,76.3,0,23.7,11.5124992707433
"EC_11",21.6,29,25.7,76.3,0,23.7,5.56341727547593
"EC_11",21.6,29,25.7,76.3,0,23.7,7.52334822442997
"EC_12",27.1,24.4,37.3,88.8,0,11.2,15.589004964154
"EC_12",27.1,24.4,37.3,88.8,0,11.2,13.3132945962252
"EC_12",27.1,24.4,37.3,88.8,0,11.2,6.23718462013244
"EC_12",27.1,24.4,37.3,88.8,0,11.2,8.05739330673336
"EC_12",27.1,24.4,37.3,88.8,0,11.2,9.72356778299182
"EC_13",5.5,4.1,82,91.6,1.2,7.2,4.03982266943604
"EC_13",5.5,4.1,82,91.6,1.2,7.2,5.7785127886326
"EC_13",5.5,4.1,82,91.6,1.2,7.2,6.8988088038667
"EC_14",6.7,41.8,43.5,92,2.7,5.3,5.33432124569766
"EC_14",6.7,41.8,43.5,92,2.7,5.3,5.14783758337509
"EC_14",6.7,41.8,43.5,92,2.7,5.3,8.65192518253823
"EC_17",5.9,18.8,70.2,94.9,3.8,1.3,14.8030665169007
"EC_17",5.9,18.8,70.2,94.9,3.8,1.3,26.2627263147072
"EC_17",5.9,18.8,70.2,94.9,3.8,1.3,11.32577276575
"EC_17",5.9,18.8,70.2,94.9,3.8,1.3,16.6234188905458
"EC_17",5.9,18.8,70.2,94.9,3.8,1.3,16.8023411509039
"EC_18",2.7,4.5,91.6,98.8,1.2,0,2.53171474927197
"EC_18",2.7,4.5,91.6,98.8,1.2,0,1.65523958616089
"EC_18",2.7,4.5,91.6,98.8,1.2,0,2.39871857782061
"EC_21",9,37.1,50,96.1,3.9,0,3.47945297186498
"EC_21",9,37.1,50,96.1,3.9,0,6.73547660252043
