"Sample_ID","Parent_ID","ssa_m2_g","cv"
"EC_05_MOI-1","EC_05",9.244,0.181
"EC_05_MOI-2","EC_05",8.829,0.181
"EC_05_MOI-3","EC_05",6.489,0.181
"EC_09_MOI-1","EC_09",19.513,0.205
"EC_09_MOI-2","EC_09",20.841,0.205
"EC_09_MOI-3","EC_09",13.87,0.205
"EC_11_MOI-1","EC_11",6.422,0.408
"EC_11_MOI-2","EC_11",3.914,0.408
"EC_11_MOI-3","EC_11",11.512,0.408
"EC_12_MOI-1","EC_12",15.589,0.361
"EC_12_MOI-2","EC_12",13.313,0.361
"EC_12_MOI-3","EC_12",6.237,0.361
"EC_13_MOI-1","EC_13",4.04,0.259
"EC_13_MOI-2","EC_13",5.779,0.259
"EC_13_MOI-3","EC_13",6.899,0.259
"EC_14_MOI-1","EC_14",5.334,0.025
"EC_14_MOI-2","EC_14",5.148,0.025
"EC_17_MOI-1","EC_17",14.803,0.171
"EC_17_MOI-3","EC_17",11.326,0.171
"EC_18_MOI-1","EC_18",2.532,0.215
"EC_18_MOI-2","EC_18",1.655,0.215
"EC_18_MOI-3","EC_18",2.399,0.215
"EC_21_MOI-1","EC_21",3.479,0.369
"EC_22_MOI-1","EC_22",30.975,0.09
"EC_22_MOI-2","EC_22",29.089,0.09
"EC_22_MOI-3","EC_22",34.657,0.09
"EC_23_MOI-1","EC_23",67.302,0.013
"EC_23_MOI-3","EC_23",68.557,0.013
"EC_24_MOI-1","EC_24",4.936,0.041
"EC_24_MOI-2","EC_24",4.658,0.041
"EC_27_MOI-1","EC_27",33.865,0.014
"EC_27_MOI-2","EC_27",34.61,0.014
"EC_27_MOI-3","EC_27",33.723,0.014
"EC_32_MOI-1","EC_32",103.099,0.069
"EC_32_MOI-2","EC_32",92.58,0.069
"EC_32_MOI-3","EC_32",90.986,0.069
"EC_33_MOI-1","EC_33",3.374,0.342
"EC_33_MOI-2","EC_33",5.689,0.342
"EC_33_MOI-3","EC_33",6.984,0.342
"EC_34_MOI-1","EC_34",13.528,0.223
"EC_34_MOI-2","EC_34",12.339,0.223
"EC_34_MOI-3","EC_34",18.554,0.223
"EC_35_MOI-1","EC_35",18.797,0.246
"EC_35_MOI-2","EC_35",20.252,0.246
"EC_35_MOI-3","EC_35",12.328,0.246
"EC_37_MOI-1","EC_37",5.654,0.018
"EC_37_MOI-3","EC_37",5.797,0.018
"EC_38_MOI-1","EC_38",7.553,0.356
"EC_38_MOI-3","EC_38",4.515,0.356
"EC_39_MOI-1","EC_39",5.542,0.107
"EC_39_MOI-2","EC_39",4.693,0.107
"EC_39_MOI-3","EC_39",5.773,0.107
"EC_40_MOI-1","EC_40",69.801,0.012
"EC_40_MOI-2","EC_40",68.279,0.012
"EC_40_MOI-3","EC_40",68.527,0.012
"EC_41_MOI-1","EC_41",11.056,0.09
"EC_41_MOI-2","EC_41",10.285,0.09
"EC_41_MOI-3","EC_41",12.289,0.09
"EC_42_MOI-1","EC_42",6.775,0.302
"EC_42_MOI-2","EC_42",5.241,0.302
"EC_42_MOI-3","EC_42",9.516,0.302
"EC_44_MOI-1","EC_44",2.233,0.657
"EC_44_MOI-2","EC_44",12.004,0.657
"EC_44_MOI-3","EC_44",19.136,0.657
