"","Sample_ID","Rep","median_SpC","median_pH","median_Temp","median_Respiration_Rate_mg_DO_per_L_per_H","median_Respiration_Rate_mg_DO_per_kg_per_H","median_Fe_mg_per_kg","median_Fe_mg_per_L","median_Initial_Gravimetric_Moisture","median_Final_Gravimetric_Moisture","median_ATP_nanomol_per_L","median_ATP_picomol_per_g","median_NPOC_mg_C_per_L","median_TN_mg_N_per_L","median_NPOC_mg_C_per_kg","median_TN_mg_N_per_kg","median_toc_percent","median_tn_percent","median_Percent_Fine_Sand","median_Percent_Med_Sand","median_Percent_Coarse_Sand","median_Percent_Tot_Sand","median_Percent_Clay","median_Percent_Silt","median_mean_ssa","median_Lost_Gravimetric_Water"
"1","EC_005_INC","Dry",115.4,6.77,20.9,0,0,0.653,0.202,0.27,0.13,5.76,16.82,2.84,0.81,9.19,2.63,0.25,0.24,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0.14
"2","EC_005_INC","Wet",115.4,6.9,20.8,0.346,1.117,0.753,0.233,0.53,0.53,4.3,14.44,2.69,0.79,8.7,2.54,0.27,0.17,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0
"3","EC_009_INC","Dry",65.08,5.76,19.9,0.602,2.097,0.568,0.162,0.36,0.23,32.24,98.48,3.55,0.86,12.36,2.99,0.77,0.16,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0.13
"4","EC_009_INC","Wet",63.33,5.75,20,3.002,10.539,0.58,0.166,0.57,0.57,20.69,66.29,3.9,0.53,13.64,1.86,0.67,0.21,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0
"5","EC_011_INC","Dry",260.7,6.71,21.5,214.02,854.768,0.646,0.162,0.54,0.23,47.48,259.56,3.52,1.3,14.01,5.19,1.59,0.26,21.6,29,25.7,76.3,0,23.7,6.9868,0.31
"6","EC_012_INC","Dry",281.9,6.765,21.65,131.2755,614.684,2.84,0.607,0.79,0.42,51.625,183.34,6.74,2.545,31.545,11.87,0.45,0.48,27.1,24.4,37.3,88.8,0,11.2,10.584,0.37
"7","EC_013_INC","Dry",430.7,7.25,21.8,2.8885,15.486,1.212,0.226,1.02,0.885,6.04,17.065,8.065,7.415,43.22,39.76,1.43,0.21,5.5,4.1,82,91.6,1.2,7.2,5.57266666666667,0.135
"8","EC_013_INC","Wet",439.25,7.205,21.35,14.6585,78.5695,1.251,0.2335,1.31,1.31,10.43,29.36,7.92,6.845,42.335,36.665,1.96,0.195,5.5,4.1,82,91.6,1.2,7.2,5.57266666666667,0
"9","EC_014_INC","Dry",127.8,6.71,21.1,0.305,1.278,0.92,0.22,0.61,0.51,20.73,59.84,5.89,1.29,24.63,5.4,0.41,0.33,6.7,41.8,43.5,92,2.7,5.3,5.241,0.1
"10","EC_014_INC","Wet",103.85,6.795,21.05,68.385,286.2065,0.635,0.152,0.85,0.85,4.555,15.355,4.42,0.935,18.49,3.905,0.45,0.355,6.7,41.8,43.5,92,2.7,5.3,5.241,0
