"","Sample_Name","Sample_ID","Respiration_Rate_mg_DO_per_L_per_H","Respiration_Rate_mg_DO_per_kg_per_H","Fe_mg_per_L","Fe_mg_per_kg","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","average_ssa","SpC","Temp","pH","Initial_Water_mass_g","Final_Water_mass_g","Dry_Sediment_Mass_g","Initial_Gravimetric_Water","Final_Gravimetric_Water","Lost_Gravimetric_Water"
"1","EC_005_INC-D1","EC_005",0,0,0.200665596360961,0.653456366460782,"6","56.2","33.4","95.6","0.4","4",8.18733333333333,115.4,21,6.96,4.33,2.42,15.75,0.274920634920635,0.153650793650794,0.121269841269841
"2","EC_005_INC-D2","EC_005",0,0,0.201968221253292,0.660213390685794,"6","56.2","33.4","95.6","0.4","4",8.18733333333333,113.1,20,6.89,4.31,1.94,15.69,0.274697259400892,0.123645634161887,0.151051625239006
"3","EC_005_INC-D3","EC_005",0,0,0.201037427325581,0.65633409357745,"6","56.2","33.4","95.6","0.4","4",8.18733333333333,114,20.9,6.77,4.32,2.3,15.71,0.274984086569064,0.14640356460853,0.128580521960535
"4","EC_005_INC-D4","EC_005",-0.066,-0.217,0.201720821738419,0.661935970962364,"6","56.2","33.4","95.6","0.4","4",8.18733333333333,116.4,21,6.67,4.3,1.86,15.63,0.275111964171465,0.119001919385797,0.156110044785669
"5","EC_005_INC-D5","EC_005",-0.089,-0.291,0.212853799907737,0.696685293137711,"6","56.2","33.4","95.6","0.4","4",8.18733333333333,115.5,20.4,6.68,4.3,1.98,15.67,0.274409700063816,0.12635609444799,0.148053605615826
"6","EC_005_INC-W1","EC_005",-0.076,-0.248,0.276934146775126,0.903541695543856,"6","56.2","33.4","95.6","0.4","4",8.18733333333333,129,20.1,7.16,8.36,8.36,15.72,0.531806615776081,0.531806615776081,0
"7","EC_005_INC-W2","EC_005",-0.346,-1.129,0.233116147570843,0.760578504628561,"6","56.2","33.4","95.6","0.4","4",8.18733333333333,115.4,20.7,6.92,8.32,8.32,15.72,0.529262086513995,0.529262086513995,0
"8","EC_005_INC-W3","EC_005",-0.376,-1.223,0.218461183899459,0.71050448072412,"6","56.2","33.4","95.6","0.4","4",8.18733333333333,111.7,20.8,6.9,8.34,8.34,15.77,0.528852251109702,0.528852251109702,0
"9","EC_005_INC-W4","EC_005",-0.36,-1.172,0.238218936488086,0.775746732288091,"6","56.2","33.4","95.6","0.4","4",8.18733333333333,113.5,21,6.86,8.33,8.33,15.75,0.528888888888889,0.528888888888889,0
"10","EC_005_INC-W5","EC_005",-0.243,-0.794,0.1858872527865,0.607646354886348,"6","56.2","33.4","95.6","0.4","4",8.18733333333333,116.1,21.1,6.72,8.31,8.31,15.69,0.529636711281071,0.529636711281071,0
"11","EC_009_INC-D1","EC_009",-0.602,-2.124,0.144183489231588,0.508768741812018,"31.4","36.4","13.3","81.1","1.4","17.5",18.0746666666667,64.64,20.1,5.7,5.36,3.37,14.71,0.364377974167233,0.229095853161115,0.135282121006118
"12","EC_009_INC-D2","EC_009",-9.89,-34.874,0.147428051919524,0.519864161884157,"31.4","36.4","13.3","81.1","1.4","17.5",18.0746666666667,65.08,20.2,5.67,5.37,3.4,14.72,0.364809782608696,0.230978260869565,0.13383152173913
"13","EC_009_INC-D3","EC_009",-0.239,-0.845,0.173134971677784,0.61217601089285,"31.4","36.4","13.3","81.1","1.4","17.5",18.0746666666667,69.74,19.8,5.76,5.35,3.36,14.68,0.364441416893733,0.228882833787466,0.135558583106267
"14","EC_009_INC-D4","EC_009",-0.483,-1.714,0.161903793142621,0.574420935533896,"31.4","36.4","13.3","81.1","1.4","17.5",18.0746666666667,68.47,19.8,5.78,5.34,3.39,14.63,0.365003417634997,0.231715652768284,0.133287764866712
"15","EC_009_INC-D5","EC_009",-2.473,-8.774,0.178376188327526,0.632863597493408,"31.4","36.4","13.3","81.1","1.4","17.5",18.0746666666667,63.19,19.9,6.36,5.34,3.4,14.63,0.365003417634997,0.232399179767601,0.132604237867396
"16","EC_009_INC-W1","EC_009",-3.002,-10.665,0.178875351817978,0.635503354651879,"31.4","36.4","13.3","81.1","1.4","17.5",18.0746666666667,75.2,19.8,6.9,8.3,8.3,14.61,0.568104038329911,0.568104038329911,0
"17","EC_009_INC-W2","EC_009",-3.905,-13.826,0.169640827244622,0.600639616572943,"31.4","36.4","13.3","81.1","1.4","17.5",18.0746666666667,63.64,19.8,6.03,8.32,8.32,14.66,0.567530695770805,0.567530695770805,0
"18","EC_009_INC-W3","EC_009",-4.162,-14.766,0.136945618620039,0.485871447716457,"31.4","36.4","13.3","81.1","1.4","17.5",18.0746666666667,62.81,20.2,5.75,8.32,8.32,14.63,0.568694463431305,0.568694463431305,0
"19","EC_009_INC-W4","EC_009",-2.971,-10.498,0.151171778097911,0.534154003672579,"31.4","36.4","13.3","81.1","1.4","17.5",18.0746666666667,63.2,20,5.71,8.36,8.36,14.69,0.569094622191967,0.569094622191967,0
"20","EC_009_INC-W5","EC_009",-2.608,-9.209,0.166396264556686,0.587548605991793,"31.4","36.4","13.3","81.1","1.4","17.5",18.0746666666667,63.33,20.1,5.68,8.35,8.35,14.7,0.568027210884354,0.568027210884354,0
"21","EC_011_INC-D1","EC_011",-119.42,-472.132,0.144611370118116,0.571728619278284,"21.6","29","25.7","76.3","0","23.7",6.9868,258.7,21.5,6.71,7.12,3.41,13.09,0.54392666157372,0.260504201680672,0.283422459893048
"22","EC_011_INC-D2","EC_011",-214.02,-848.73,0.141351744186046,0.560554441771362,"21.6","29","25.7","76.3","0","23.7",6.9868,260.7,21.5,6.7,7.09,2.53,13.05,0.543295019157088,0.193869731800766,0.349425287356322
"23","EC_011_INC-D3","EC_011",-219.742,-868.759,0.105023747407853,0.415216881272056,"21.6","29","25.7","76.3","0","23.7",6.9868,270.2,21.5,6.65,7.12,3.69,13.09,0.54392666157372,0.281894576012223,0.262032085561497
"24","EC_011_INC-D4","EC_011",-217.954,-861.69,0.193211402891908,0.763871392090298,"21.6","29","25.7","76.3","0","23.7",6.9868,264.9,21.5,6.75,7.12,2.19,13.09,0.54392666157372,0.167303284950344,0.376623376623377
"25","EC_011_INC-D5","EC_011",-191.632,-759.365,0.179268074096043,0.710373764978441,"21.6","29","25.7","76.3","0","23.7",6.9868,260.4,21.7,6.73,7.1,3.1,13.06,0.54364471669219,0.237366003062787,0.306278713629403
"26","EC_011_INC-W1","EC_011",-9999,-9999,0.355724821779243,1.42048387166044,"21.6","29","25.7","76.3","0","23.7",6.9868,350.3,20.9,7.41,27.05,24.13,12.96,2.08719135802469,1.86188271604938,0.225308641975309
"27","EC_011_INC-W2","EC_011",-9999,-9999,0.389433449928414,1.55629033982203,"21.6","29","25.7","76.3","0","23.7",6.9868,330.2,21.1,6.93,27.11,23.64,12.95,2.09343629343629,1.82548262548263,0.267953667953668
"28","EC_011_INC-W3","EC_011",-9999,-9999,0.264573196838624,1.05731212994536,"21.6","29","25.7","76.3","0","23.7",6.9868,310.8,21.2,6.87,27.08,24.12,12.95,2.09111969111969,1.86254826254826,0.228571428571428
"29","EC_011_INC-W4","EC_011",-9999,-9999,0.25782340116279,1.02558621498668,"21.6","29","25.7","76.3","0","23.7",6.9868,261.2,21,6.79,27.14,24.39,13.01,2.08608762490392,1.87471176018447,0.211375864719447
"30","EC_011_INC-W5","EC_011",-9999,-9999,0.422906264356024,1.68745142582521,"21.6","29","25.7","76.3","0","23.7",6.9868,341.7,21.7,6.66,27.15,24.59,12.97,2.09329221279877,1.89591364687741,0.197378565921357
"31","EC_012_INC-D1","EC_012",-115.406,-524.368,0.743114441185304,3.37650158125825,"27.1","24.4","37.3","88.8","0","11.2",10.584,289.6,21.7,6.71,8.97,5.04,11.3,0.793805309734513,0.446017699115044,0.347787610619469
"32","EC_012_INC-D2","EC_012",-140.551,-643.172,0.557728723641721,2.55223026619078,"27.1","24.4","37.3","88.8","0","11.2",10.584,267.9,21.7,6.88,8.91,4.63,11.22,0.794117647058823,0.412655971479501,0.381461675579323
"33","EC_012_INC-D3","EC_012",-122,-553.839,0.656187975976068,2.97889614840984,"27.1","24.4","37.3","88.8","0","11.2",10.584,280.2,21.6,6.74,8.97,4.83,11.31,0.793103448275862,0.427055702917772,0.36604774535809
"34","EC_012_INC-D4","EC_012",-156.149,-710.119,0.407811464602453,1.85462106630189,"27.1","24.4","37.3","88.8","0","11.2",10.584,283.6,21,6.79,8.96,4.46,11.29,0.79362267493357,0.395039858281665,0.398582816651904
