"Sample_ID","Treat","Mean_SpC","Mean_pH","Mean_Temp","Mean_WithOutliers_Respiration_Rate_mg_DO_per_L_per_H","Mean_WithOutliers_Respiration_Rate_mg_DO_per_kg_per_H","Mean_OutliersRemoved_Respiration_Rate_mg_DO_per_L_per_H","Mean_OutliersRemoved_Respiration_Rate_mg_DO_per_kg_per_H","Initial_Gravimetric_Water","Final_Gravimetric_Water","Lost_Gravimetric_Water","Mean_ATP_nanomol_per_L","Mean_ATP_picomol_per_g","Mean_Fe_mg_per_kg","Mean_Fe_mg_per_L","mean_npoc","mean_tn","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","mean_ssa"
"EC_005","D",114.88,6.794,20.66,0.031,0.1,0,0,0.274824729025175,0.133811601250999,0.141013127774175,5.142,15.178,0.659,0.204,2.844,0.83,6,56.2,33.4,95.6,0.4,4,8.18733333333333
"EC_005","W",117.14,6.912,20.74,0.28,0.904,0.28,0.904,0.529689310713948,0.529689310713948,0,4.974,14.444,0.744,0.23,2.674,0.766,6,56.2,33.4,95.6,0.4,4,8.18733333333333
"EC_009","D",66.224,5.854,19.96,2.737,9.546,0.441,1.542,0.364727201787931,0.230614356070806,0.134112845717125,31.048,98.056,0.562,0.161,3.53,0.74,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667
"EC_009","W",65.636,6.014,19.98,3.33,11.65,3.33,11.65,0.568290206121668,0.568290206121668,0,28.62,102.856,0.562,0.161,3.75833333333333,0.658333333333333,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667
"EC_011","D",262.98,6.708,21.54,192.554,767.387,192.554,767.387,0.543743944114088,0.228187559501358,0.315556384612729,48.808,280.818,0.629,0.158,3.586,1.306,21.6,29,25.7,76.3,0,23.7,6.9868
"EC_012","D",276.52,6.8,21.42,106.944,500.642,133.526,624.237,0.793970406406458,0.357556060380937,0.436414346025521,49.436,186.158,2.608,0.512,5.87571428571429,2.85714285714286,27.1,24.4,37.3,88.8,0,11.2,10.584
"EC_013","D",431.4,7.248,21.75,3.143,16.848,2.463,13.207,1.01552440928497,0.876610768396581,0.138913640888387,6.63,18.638,1.246,0.233,8.068,7.653,5.5,4.1,82,91.6,1.2,7.2,5.57266666666667
"EC_013","W",440.125,7.26,21.35,14.014,75.003,14.014,75.003,1.31172240661382,1.31152099674474,0.000201409869083591,8.87,26.534,1.294,0.242,7.956,6.978,5.5,4.1,82,91.6,1.2,7.2,5.57266666666667
"EC_014","D",128.32,6.708,21.04,0.326,1.362,0.326,1.362,0.611227676809782,0.506020857203014,0.105206819606768,21.774,68.71,0.885,0.212,5.842,1.318,6.7,41.8,43.5,92,2.7,5.3,5.241
"EC_014","W",103.95,6.73,20.848,68.6,286.476,45.709,191.303,0.851878714998787,0.867176231696451,-0.0152975166976641,5.716,18.686,0.609,0.146,4.422,0.93,6.7,41.8,43.5,92,2.7,5.3,5.241
"EC_017","D",279.4,6.174,20.74,1.22,3.835,0.291,0.922,0.253952695013129,0.113288074876745,0.140664620136384,7.232,22.926,0.16,0.051,1.838,1.748,5.9,18.8,70.2,94.9,3.8,1.3,14.8885
"EC_017","W",282.38,7.012,20.72,0.833,2.637,0.833,2.637,0.536483614260472,0.536483614260472,0,8.348,26.262,0.353,0.112,1.81,0.346,5.9,18.8,70.2,94.9,3.8,1.3,14.8885
"EC_018","D",544.32,6.622,20.878,0.02,0.076,0,0,0.495065697114574,0.417914374464084,0.0771513226504899,1.442,3.226,0.114,0.029,2.63333333333333,2.82666666666667,2.7,4.5,91.6,98.8,1.2,0,2.19533333333333
"EC_018","W",530.08,6.4,21.004,26.879,103.896,0.35,1.353,0.718608336027384,0.717860056464847,0.000748279562537335,1.206,2.556,0.138,0.036,2.704,1.246,2.7,4.5,91.6,98.8,1.2,0,2.19533333333333
"EC_021","D",1180,7.45,20.86,0.17,0.545,0,0,0.259948492610227,0.14308525320886,0.116863239401367,2.456,7.918,0.128,0.04,6.889,6.925,9,37.1,50,96.1,3.9,0,5.958
"EC_021","W",1162,7.612,20.64,0.449,1.426,0.146,0.463,0.618775377453322,0.618775377453322,0,2.87,9.124,0.1,0.032,6.669,4.287,9,37.1,50,96.1,3.9,0,5.958
"EC_022","D",78.204,6.564,21.46,0.295,0.956,0.295,0.956,0.279103335389773,0.160654037092585,0.118449298297188,16.226,58.452,0.44,0.135,1.41125,2.9675,12.7,54,24.5,91.2,2.7,6.1,31.5736666666667
"EC_022","W",74.282,7.138,20.98,26.11,84.601,7.689,24.904,0.529226251167919,0.529098128169841,0.000128122998078162,15.566,61.382,0.724,0.223,1.788,0.326,12.7,54,24.5,91.2,2.7,6.1,31.5736666666667
"EC_024","D",251.72,6.29,21.56,0,0,0,0,0.166316832381794,0.0816532419081504,0.0846635904736432,14.976,55.882,0.089,0.031,2.36,2.99125,4.2,8.7,83.6,96.5,3.4,0.1,4.797
"EC_024","W",223.58,6.442,21.44,2.187,6.358,1.708,4.965,0.340331453590517,0.340215511561531,0.000115942028985505,14.652,52.52,0.146,0.05,2.36,1.012,4.2,8.7,83.6,96.5,3.4,0.1,4.797
"EC_027","D",1092.333,7.103,21.8,40.329,209.95,40.329,209.95,0.997403791819351,0.729645584718384,0.267758207100967,3.048,17.578,3.937,0.756,5.406,0.926,46.5,25,1.1,72.6,15.7,11.7,34.066
"EC_027","W",1061.75,6.845,21.5,238.374,1241.085,238.374,1241.085,1.28105700651708,1.28105700651708,0,2.88,15.746,5.612,1.078,5.115,0.755,46.5,25,1.1,72.6,15.7,11.7,34.066
"EC_032","D",642.58,7.432,19.78,207.747,1098.662,207.747,1098.662,1.04200601342865,0.644383860808667,0.397622152619979,4.198,32.95,13.973,2.639,8.084,1.444,6.6,1.1,1.1,8.8,20.6,70.6,95.555
"EC_032","W",598.42,7.04,20.1,267.098,1414.534,267.098,1414.534,1.44563301147522,1.44482362928574,0.000809382189477592,3.982,31.212,6.028,1.148,7.746,1.304,6.6,1.1,1.1,8.8,20.6,70.6,95.555
"EC_033","D",1174.4,7.566,20.82,0.036,0.114,0,0,0.254577697274371,0.134171622893554,0.120406074380816,1.806,4.948,0.093,0.029,6.233,6.287,0.8,6.2,92.1,99.1,0.9,0,5.349
"EC_033","W",1141.4,7.628,20.82,0.007,0.022,0,0,0.579492257494542,0.583477621263191,-0.00398536376864882,0.956,2.624,0.1,0.031,5.459,4.89,0.8,6.2,92.1,99.1,0.9,0,5.349
"EC_034","D",489.12,6.664,21.12,1.353,4.671,1.353,4.671,0.3544152343573,0.215433039753394,0.138982194603906,60.33,269.838,0.731,0.211,4.358,2.246,80.7,4,0.6,85.3,3.4,11.3,14.807
"EC_034","W",414.2,6.512,21.64,237.212,817.393,237.212,817.393,0.556084075433331,0.555948665819249,0.000135409614082627,44.922,196.032,1.384,0.402,3.562,0.964,80.7,4,0.6,85.3,3.4,11.3,14.807
