"","Sample_ID","Rep","diff_median_SpC","diff_median_pH","diff_median_Temp","diff_median_Respiration_Rate_mg_DO_per_L_per_H","diff_median_Respiration_Rate_mg_DO_per_kg_per_H","diff_median_Fe_mg_per_kg","diff_median_Fe_mg_per_L","diff_median_Initial_Gravimetric_Moisture","diff_median_Final_Gravimetric_Moisture","diff_median_Lost_Gravimetric_Water","diff_median_ATP_nanomol_per_L","diff_median_ATP_picomol_per_g","median_Percent_Fine_Sand","median_Percent_Med_Sand","median_Percent_Coarse_Sand","median_Percent_Tot_Sand","median_Percent_Clay","median_Percent_Silt","median_mean_ssa"
"1","EC_005_INC","Dry",0,0.130000000000001,-0.0999999999999979,0.346,1.117,0.1,0.031,0.26,0.4,-0.14,-1.46,-2.38,6,56.2,33.4,95.6,0.4,4,8.18733333333333
"2","EC_009_INC","Dry",-1.75,-0.00999999999999979,0.100000000000001,2.4,8.442,0.012,0.004,0.21,0.34,-0.13,-11.55,-32.19,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667
"3","EC_013_INC","Dry",8.55000000000001,-0.0449999999999999,-0.449999999999996,11.77,63.0835,0.0389999999999999,0.00750000000000001,0.29,0.425,-0.135,4.39,12.295,5.5,4.1,82,91.6,1.2,7.2,5.57266666666667
"4","EC_014_INC","Dry",-23.95,0.085,-0.0500000000000007,68.08,284.9285,-0.285,-0.068,0.24,0.34,-0.1,-16.175,-44.485,6.7,41.8,43.5,92,2.7,5.3,5.241
"5","EC_017_INC","Dry",0.899999999999977,0.409999999999999,-0.100000000000001,0.419,1.316,0.201,0.064,0.28,0.41,-0.13,0.629999999999999,4.27,5.9,18.8,70.2,94.9,3.8,1.3,14.8885
"6","EC_018_INC","Dry",-10.8,-0.239999999999999,0.0199999999999996,0.463,1.793,0.130128935532234,0.034,0.22,0.3,-0.08,-0.41,-0.85,2.7,4.5,91.6,98.8,1.2,0,2.19533333333333
"7","EC_021_INC","Dry",-28,0.12,-0.100000000000001,0.168,0.532,-0.034,-0.01,0.31,0.43,-0.12,0.11,0.33,9,37.1,50,96.1,3.9,0,5.958
"8","EC_022_INC","Dry",-14.94,0.26,-0.5,8.649,28.062,0.366,0.114,0.25,0.37,-0.12,-4.33,-0.229999999999997,12.7,54,24.5,91.2,2.7,6.1,31.5736666666667
"9","EC_024_INC","Dry",-30.9,0.19,-0.100000000000001,1.564,4.52,0.056,0.019,0.17,0.26,-0.09,-2.67,-7.84,4.2,8.7,83.6,96.5,3.4,0.1,4.797
"10","EC_027_INC","Dry",-43,-0.235,-0.300000000000001,244.6995,1273.339,0.0125,0.0025,0.28,0.57,-0.29,-0.63,3.825,46.5,25,1.1,72.6,15.7,11.7,34.066
