"","Sample_ID","Rep","median_SpC","median_pH","median_Temp","median_Respiration_Rate_mg_DO_per_L_per_H","median_Respiration_Rate_mg_DO_per_kg_per_H","median_Fe_mg_per_kg","median_Fe_mg_per_L","median_Initial_Water_mass_g","median_Final_Water_mass_g","median_Dry_Sediment_Mass_g","median_Initial_Gravimetric_Moisture","median_Final_Gravimetric_Moisture","median_Incubation_Water_Mass_g","median_ATP_nanomol_per_L","median_ATP_picomol_per_g","median_Percent_Fine_Sand","median_Percent_Med_Sand","median_Percent_Coarse_Sand","median_Percent_Tot_Sand","median_Percent_Clay","median_Percent_Silt","median_mean_ssa","median_Lost_Gravimetric_Water"
"1","EC_005_INC","Dry",115.4,6.77,20.9,0,0,0.653,0.202,4.29,1.97,15.71,0.27,0.13,50.76,5.76,16.82,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0.14
"2","EC_005_INC","Wet",115.4,6.9,20.8,0.346,1.117,0.753,0.233,8.31,8.31,15.74,0.53,0.53,50.75,4.3,14.44,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0
"3","EC_009_INC","Dry",65.08,5.76,19.9,0.602,2.097,0.568,0.162,5.34,3.37,14.69,0.36,0.23,51.26,32.24,98.48,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0.13
"4","EC_009_INC","Wet",63.33,5.75,20,3.002,10.539,0.58,0.166,8.31,8.31,14.67,0.57,0.57,51.27,20.69,66.29,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0
"5","EC_011_INC","Dry",260.7,6.71,21.5,214.02,854.768,0.646,0.162,7.09,3.07,13.12,0.54,0.23,52.1,47.48,259.56,21.6,29,25.7,76.3,0,23.7,6.9868,0.31
"6","EC_012_INC","Dry",281.9,6.765,21.65,131.2755,614.684,2.84,0.607,8.965,4.73,11.295,0.79,0.42,52.72,51.625,183.34,27.1,24.4,37.3,88.8,0,11.2,10.584,0.37
"7","EC_013_INC","Dry",430.7,7.25,21.8,2.8885,15.486,1.212,0.226,10.075,8.735,9.915,1.02,0.885,53.17,6.04,17.065,5.5,4.1,82,91.6,1.2,7.2,5.57266666666667,0.135
"8","EC_013_INC","Wet",439.25,7.205,21.35,14.6585,78.5695,1.251,0.2335,13.055,13.055,9.925,1.31,1.31,53.16,10.43,29.36,5.5,4.1,82,91.6,1.2,7.2,5.57266666666667,0
"9","EC_014_INC","Dry",127.8,6.71,21.1,0.305,1.278,0.92,0.22,7.61,6.37,12.42,0.61,0.51,51.98,20.73,59.84,6.7,41.8,43.5,92,2.7,5.3,5.241,0.1
"10","EC_014_INC","Wet",103.85,6.795,21.05,68.385,286.2065,0.635,0.152,10.59,10.595,12.41,0.85,0.85,51.98,4.555,15.355,6.7,41.8,43.5,92,2.7,5.3,5.241,0
"11","EC_017_INC","Dry",279.6,6.19,20.8,0.337,1.062,0.161,0.051,4.03,1.84,15.93,0.25,0.12,50.39,7.66,22.19,5.9,18.8,70.2,94.9,3.8,1.3,14.8885,0.13
"12","EC_017_INC","Wet",280.5,6.6,20.7,0.756,2.378,0.362,0.115,8.53,8.53,15.92,0.53,0.53,50.39,8.29,26.46,5.9,18.8,70.2,94.9,3.8,1.3,14.8885,0
"13","EC_018_INC","Dry",538.3,6.64,21,0,0,0.003,0.001,6.64,5.6,13.36,0.5,0.42,51.63,1.47,3,2.7,4.5,91.6,98.8,1.2,0,2.19533333333333,0.08
"14","EC_018_INC","Wet",527.5,6.4,21.02,0.463,1.793,0.134,0.035,9.61,9.6,13.35,0.72,0.72,51.64,1.06,2.15,2.7,4.5,91.6,98.8,1.2,0,2.19533333333333,0
"15","EC_021_INC","Dry",1185,7.46,20.8,0,0,0.125,0.039,4.08,2.19,15.89,0.26,0.14,50.4,2.67,8.6,9,37.1,50,96.1,3.9,0,5.958,0.12
"16","EC_021_INC","Wet",1157,7.58,20.7,0.168,0.532,0.091,0.029,9.11,9.11,15.92,0.57,0.57,50.39,2.78,8.93,9,37.1,50,96.1,3.9,0,5.958,0
"17","EC_022_INC","Dry",87.03,6.55,21.5,0.259,0.842,0.441,0.135,4.32,2.45,15.62,0.28,0.16,50.66,14.75,43.08,12.7,54,24.5,91.2,2.7,6.1,31.5736666666667,0.12
"18","EC_022_INC","Wet",72.09,6.81,21,8.908,28.904,0.807,0.249,8.23,8.23,15.67,0.53,0.53,50.64,10.42,42.85,12.7,54,24.5,91.2,2.7,6.1,31.5736666666667,0
