"","Sample_Name","Respiration_Rate_mg_DO_per_L_per_H","Respiration_Rate_mg_DO_per_kg_per_H","Fe_mg_per_L","Fe_mg_per_kg","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","average_ssa","SpC","Temp","pH","Initial_Water_mass_g","Final_Water_mass_g","Dry_Sediment_Mass_g","Initial_Gravimetric_Water","Final_Gravimetric_Water","Lost_Gravimetric_Water"
"1","EC_005_INC-D",-0.031,-0.1016,0.203649173317198,0.66572502296482,6,56.2,33.4,95.6,0.4,4,8.18733333333333,114.88,20.66,6.794,4.312,2.1,15.69,0.274824729025175,0.133811601250999,0.141013127774175
"2","EC_005_INC-W",-0.2802,-0.9132,0.230523533504003,0.751603553614195,6,56.2,33.4,95.6,0.4,4,8.18733333333333,117.14,20.74,6.912,8.332,8.332,15.73,0.529689310713948,0.529689310713948,0
"3","EC_009_INC-D",-2.7374,-9.6662,0.161005298859808,0.569618689523266,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,66.224,19.96,5.854,5.352,3.384,14.674,0.364727201787931,0.230614356070806,0.134112845717125
"4","EC_009_INC-W",-3.3296,-11.7928,0.160605968067447,0.56874340572113,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,65.636,19.98,6.014,8.33,8.33,14.658,0.568290206121668,0.568290206121668,0
"5","EC_011_INC-D",-192.5536,-762.1352,0.152693267739993,0.604349019878088,21.6,29,25.7,76.3,0,23.7,6.9868,262.98,21.54,6.708,7.11,2.984,13.076,0.543743944114088,0.228187559501358,0.315556384612729
"6","EC_012_INC-D",-106.9442,-487.4648,0.511989525830591,2.5220982382361,27.1,24.4,37.3,88.8,0,11.2,10.584,276.52,21.42,6.8,8.024,3.908,10.108,0.793970406406458,0.357556060380937,0.436414346025521
"7","EC_013_INC-D",-3.1425,-16.05375,0.210427869381402,1.07491749728803,5.5,4.1,82,91.6,1.2,7.2,5.57266666666667,431.4,21.75,7.2475,10.0725,8.715,9.9175,1.01562907656089,0.878744326558164,0.136884750002729
"8","EC_013_INC-W",-14.0135,-71.48075,0.234659899640275,1.19686099691136,5.5,4.1,82,91.6,1.2,7.2,5.57266666666667,440.125,21.35,7.26,13.04,13.0375,9.9325,1.31286549567916,1.31261373334281,0.000251762336354489
"9","EC_014_INC-D",-0.3258,-1.338,0.211824831549687,0.869953943325646,6.7,41.8,43.5,92,2.7,5.3,5.241,128.32,21.04,6.708,7.6,6.292,12.434,0.611227676809782,0.506020857203014,0.105206819606768
"10","EC_014_INC-W",-68.6005,-281.5115,0.146316659166157,0.601379706421227,6.7,41.8,43.5,92,2.7,5.3,5.241,103.95,20.8475,6.73,10.5775,10.815,12.4275,0.851138716329129,0.870260612201209,-0.0191218958720801
"11","EC_017_INC-D",-1.88566666666667,-5.97766666666667,0.0620012740762444,0.197325133409757,5.9,18.8,70.2,94.9,3.8,1.3,14.8885,280.366666666667,20.7,6.13,4.04666666666667,1.77,15.9466666666667,0.253762610043881,0.110973452411274,0.142789157632607
"12","EC_017_INC-W",-0.8332,-2.6586,0.111737222093587,0.356449398046356,5.9,18.8,70.2,94.9,3.8,1.3,14.8885,282.38,20.72,7.012,8.544,8.544,15.926,0.536483614260472,0.536483614260472,0
"13","EC_018_INC-D",0,0,0.037305704741013,0.140224436737378,2.7,4.5,91.6,98.8,1.2,0,2.19533333333333,552.85,20.545,6.52,6.63,5.575,13.385,0.495330663067613,0.416512612875101,0.0788180501925114
"14","EC_018_INC-W",-66.731,-251.2955,0.0356582997746915,0.134137402209113,2.7,4.5,91.6,98.8,1.2,0,2.19533333333333,530.3,20.65,6.455,9.595,9.595,13.375,0.717389530125708,0.717389530125708,0
"15","EC_021_INC-D",-0.17,-0.5488,0.0402619755871668,0.129201756665818,9,37.1,50,96.1,3.9,0,5.958,1180,20.86,7.45,4.116,2.266,15.834,0.259948492610227,0.14308525320886,0.116863239401367
"16","EC_022_INC-D",-0.2948,-0.9788,0.135413700967164,0.450128943688193,12.7,54,24.5,91.2,2.7,6.1,31.5736666666667,78.204,21.46,6.564,4.354,2.506,15.6,0.279103335389773,0.160654037092585,0.118449298297188
"17","EC_022_INC-W",-26.1104,-86.6136,0.220248870228232,0.730500355675208,12.7,54,24.5,91.2,2.7,6.1,31.5736666666667,74.282,20.98,7.138,8.276,8.274,15.638,0.529226251167919,0.529098128169841,0.000128122998078162
"18","EC_024_INC-D",0,0,0.0366775265946436,0.107800239912186,4.2,8.7,83.6,96.5,3.4,0.1,4.797,252.433333333333,21.5666666666667,6.26333333333333,2.85333333333333,1.35333333333333,17.15,0.166375121080666,0.0789195480754041,0.0874555730052621
"19","EC_024_INC-W",-2.187,-6.425,0.0502858900133623,0.147743801832891,4.2,8.7,83.6,96.5,3.4,0.1,4.797,223.58,21.44,6.442,5.84,5.838,17.16,0.340331453590517,0.340215511561531,0.000115942028985505
"20","EC_027_INC-D",-58.8445,-304.715,0.0954408487316946,0.49389129487843,46.5,25,1.1,72.6,15.7,11.7,34.066,1077,21.9,7.075,9.995,7.055,10.02,0.997504489528418,0.70409899173608,0.293405497792337
"21","EC_027_INC-W",-238.374,-1234.5245,0.859992539787755,4.45807241927554,46.5,25,1.1,72.6,15.7,11.7,34.066,1061.75,21.5,6.845,12.8125,12.8125,10.01,1.27996397271721,1.27996397271721,0
"22","EC_032_INC-D",-207.747,-1145.2654,2.63845770343592,14.5638173929215,6.6,1.1,1.1,8.8,20.6,70.6,95.555,642.58,19.78,7.432,10.37,6.406,9.952,1.04200601342865,0.644383860808667,0.397622152619979
"23","EC_032_INC-W",-267.0978,-1474.3678,1.14766078916577,6.2851038133361,6.6,1.1,1.1,8.8,20.6,70.6,95.555,598.42,20.1,7.04,14.32,14.312,9.906,1.44563301147522,1.44482362928574,0.000809382189477592
"24","EC_033_INC-D",0,0,0.0330253427672723,0.104427270265599,0.8,6.2,92.1,99.1,0.9,0,5.349,1175.66666666667,20.8,7.61666666666667,4.05666666666667,2.05666666666667,15.9333333333333,0.254602987421384,0.129067085953878,0.125535901467505
"25","EC_033_INC-W",0,0,0.0328088654534453,0.103977278628875,0.8,6.2,92.1,99.1,0.9,0,5.349,1144,20.8,7.46,9.21,9.21,15.9,0.579245283018868,0.579245283018868,0
"26","EC_034_INC-D",-1.3526,-4.7168,0.211403726842504,0.737393278788065,80.7,4,0.6,85.3,3.4,11.3,14.807,489.12,21.12,6.664,5.234,3.182,14.768,0.3544152343573,0.215433039753394,0.138982194603906
"27","EC_034_INC-W",-237.2118,-825.5982,0.404550186013194,1.40721761844369,80.7,4,0.6,85.3,3.4,11.3,14.807,414.2,21.64,6.512,8.23,8.228,14.8,0.556084075433331,0.555948665819249,0.000135409614082627
"28","EC_035_INC-D",-236.8256,-1611.296,0.294610248152321,2.00440029501575,28.4,62.3,3.5,94.2,2.5,3.3,17.1256666666667,269.16,19.72,7.062,12.432,10.396,7.598,1.63621984893726,1.36840553439587,0.267814314541383
"29","EC_035_INC-W",-270.9562,-1838.5624,0.378314257638866,2.56649674602818,28.4,62.3,3.5,94.2,2.5,3.3,17.1256666666667,284.22,20,7.176,15.422,15.422,7.614,2.0254793524537,2.0254793524537,0
"30","EC_037_INC-D",-0.881,-2.56833333333333,0.0477117353725995,0.139186554298856,3.7,4.7,89.3,97.7,2.3,0,5.7255,364.2,21.1333333333333,6.51333333333333,2.72666666666667,1.01333333333333,17.28,0.157793177419661,0.0586289325491149,0.0991642448705459
"31","EC_037_INC-W",-2.884,-8.3408,0.0693757378946119,0.200464490064105,3.7,4.7,89.3,97.7,2.3,0,5.7255,355.76,20.74,6.708,7.708,7.708,17.432,0.442189882353349,0.442189882353349,0
"32","EC_038_INC-D",-0.3214,-0.9994,0.152970478494488,0.476365614457122,5.2,12.1,80.5,97.8,2.2,0,6.034,159.8,20.8,6.65,3.776,2.004,16.23,0.23265452130669,0.123486843187132,0.109167678119558
"33","EC_038_INC-W",-29.489,-92.0844,0.170353700224686,0.531566474959101,5.2,12.1,80.5,97.8,2.2,0,6.034,146.72,20.98,6.782,8.774,8.774,16.188,0.542013057521012,0.542013057521012,0
"34","EC_039_INC-D",0,0,0.0360421233113047,0.117072626026442,3.7,25.3,67.9,96.9,3.1,0,5.336,526.975,20.475,7.6575,4.6325,2.4975,15.6025,0.296909690240383,0.16008883022046,0.136820860019923
"35","EC_039_INC-W",-6.564,-21.527,0.038049980692933,0.124444333941468,3.7,25.3,67.9,96.9,3.1,0,5.336,502.566666666667,20.4666666666667,7.27,6.58666666666667,6.58666666666667,15.4866666666667,0.425319848118811,0.425319848118811,0
"36","EC_040_INC-D",-0.4062,-1.5578,1.72000792276167,6.59074899291574,35.7,1.8,3.8,41.3,17.7,41,68.869,534.94,19.94,7.436,6.412,2.456,13.886,0.461760156580286,0.176868535954428,0.284891620625858
"37","EC_040_INC-W",-222.7536,-860.846,3.12372991568636,12.0688451431996,35.7,1.8,3.8,41.3,17.7,41,68.869,492.46,20.06,7.31,9.128,9.126,13.782,0.662334442933141,0.662188882525572,0.000145560407569145
