"Sample_Name","Respiration_Rate_mg_DO_per_L_per_H","Respiration_Rate_mg_DO_per_kg_per_H","Mean_Slope_All_L","Mean_Slope_All_kg","cv_before_removal_L","cv_before_removal_kg","kit_treat","flag","cv_after_removal","Mean_Slope_Removed"
"EC_095_INC-W1",-288.114,-1225.528,-281.286,-1181.9338,2.45059310472673,2.77367748741886,"EC_095_Wet","N/A",2.45059310472673,-281.286
"EC_095_INC-W3",-286.5,-1197.251,-281.286,-1181.9338,2.45059310472673,2.77367748741886,"EC_095_Wet","N/A",2.45059310472673,-281.286
"EC_095_INC-W5",-282.83,-1178.232,-281.286,-1181.9338,2.45059310472673,2.77367748741886,"EC_095_Wet","N/A",2.45059310472673,-281.286
"EC_095_INC-W2",-277.778,-1172.022,-281.286,-1181.9338,2.45059310472673,2.77367748741886,"EC_095_Wet","N/A",2.45059310472673,-281.286
"EC_095_INC-W4",-271.208,-1136.636,-281.286,-1181.9338,2.45059310472673,2.77367748741886,"EC_095_Wet","N/A",2.45059310472673,-281.286
"EC_095_INC-D5",-4.835,-20.529,-2.9134,-12.301,42.5210135432136,43.0729929675062,"EC_095_Dry","N/A",42.5210135432136,-2.9134
"EC_095_INC-D1",-3.316,-14.018,-2.9134,-12.301,42.5210135432136,43.0729929675062,"EC_095_Dry","N/A",42.5210135432136,-2.9134
"EC_095_INC-D4",-2.539,-10.676,-2.9134,-12.301,42.5210135432136,43.0729929675062,"EC_095_Dry","N/A",42.5210135432136,-2.9134
"EC_095_INC-D3",-2.287,-9.623,-2.9134,-12.301,42.5210135432136,43.0729929675062,"EC_095_Dry","N/A",42.5210135432136,-2.9134
"EC_095_INC-D2",-1.59,-6.659,-2.9134,-12.301,42.5210135432136,43.0729929675062,"EC_095_Dry","N/A",42.5210135432136,-2.9134
"EC_094_INC-W2",-154.795,-498.066,-128.557,-417.545,12.9253369656389,12.0693375225653,"EC_094_Wet","N/A",12.9253369656389,-128.557
"EC_094_INC-W4",-131.252,-423.25,-128.557,-417.545,12.9253369656389,12.0693375225653,"EC_094_Wet","N/A",12.9253369656389,-128.557
"EC_094_INC-W1",-124.638,-408.758,-128.557,-417.545,12.9253369656389,12.0693375225653,"EC_094_Wet","N/A",12.9253369656389,-128.557
