"Sample_Name","Respiration_Rate_mg_DO_per_kg_per_H","Respiration_Rate_mg_DO_per_L_per_H","Mean_Slope_All_L","Mean_Slope_All_kg","cv_before_removal_L","cv_before_removal_kg","kit_treat","flag","cv_after_removal","Mean_Slope_Removed"
"EC_095_INC-W1",-1225.528,-288.114,-281.286,-1181.9338,2.45059310472673,2.77367748741886,"EC_095_Wet","N/A",2.77367748741886,-1181.9338
"EC_095_INC-W3",-1197.251,-286.5,-281.286,-1181.9338,2.45059310472673,2.77367748741886,"EC_095_Wet","N/A",2.77367748741886,-1181.9338
"EC_095_INC-W5",-1178.232,-282.83,-281.286,-1181.9338,2.45059310472673,2.77367748741886,"EC_095_Wet","N/A",2.77367748741886,-1181.9338
"EC_095_INC-W2",-1172.022,-277.778,-281.286,-1181.9338,2.45059310472673,2.77367748741886,"EC_095_Wet","N/A",2.77367748741886,-1181.9338
"EC_095_INC-W4",-1136.636,-271.208,-281.286,-1181.9338,2.45059310472673,2.77367748741886,"EC_095_Wet","N/A",2.77367748741886,-1181.9338
"EC_095_INC-D4",-10.676,-2.539,-2.9134,-12.301,42.5210135432136,43.0729929675062,"EC_095_Dry","N/A",23.1791940558654,-8.986
"EC_095_INC-D3",-9.623,-2.287,-2.9134,-12.301,42.5210135432136,43.0729929675062,"EC_095_Dry","N/A",23.1791940558654,-8.986
"EC_095_INC-D2",-6.659,-1.59,-2.9134,-12.301,42.5210135432136,43.0729929675062,"EC_095_Dry","N/A",23.1791940558654,-8.986
"EC_094_INC-W4",-423.25,-131.252,-128.557,-417.545,12.9253369656389,12.0693375225653,"EC_094_Wet","N/A",6.58416896941683,-397.41475
"EC_094_INC-W1",-408.758,-124.638,-128.557,-417.545,12.9253369656389,12.0693375225653,"EC_094_Wet","N/A",6.58416896941683,-397.41475
"EC_094_INC-W5",-395.66,-122.395,-128.557,-417.545,12.9253369656389,12.0693375225653,"EC_094_Wet","N/A",6.58416896941683,-397.41475
"EC_094_INC-W3",-361.991,-109.705,-128.557,-417.545,12.9253369656389,12.0693375225653,"EC_094_Wet","N/A",6.58416896941683,-397.41475
"EC_094_INC-D2",-3.016,-0.928,-1.4384,-4.6942,91.4208991189198,92.1285672406987,"EC_094_Dry","N/A",7.73952311389961,-2.872
"EC_094_INC-D1",-2.984,-0.919,-1.4384,-4.6942,91.4208991189198,92.1285672406987,"EC_094_Dry","N/A",7.73952311389961,-2.872
"EC_094_INC-D5",-2.616,-0.802,-1.4384,-4.6942,91.4208991189198,92.1285672406987,"EC_094_Dry","N/A",7.73952311389961,-2.872
"EC_093_INC-W1",-1.695,-0.554,-0.5092,-1.5734,8.65148796446808,8.58339274433825,"EC_093_Wet","N/A",8.58339274433825,-1.5734
"EC_093_INC-W3",-1.691,-0.545,-0.5092,-1.5734,8.65148796446808,8.58339274433825,"EC_093_Wet","N/A",8.58339274433825,-1.5734
